data	"196,255,41"	"50,50,50"	"236,28,36"
data	Export	Supplied	Gap
Australia	3	4	1
China	182	133	49
China_Hong_Kong_SAR	1375	1816	441
China_Macao_SAR	0	67	67
Germany	0	0	0
Iran	0	0	0
Japan	131	112	19
Korea_Republic	5	0	5
Malaysia	54	124	70
Mauritius	0	3	3
New_Zealand	28	0	28
Peru	0	0	0
Philippines	0	0	0
Singapore	523	2	521
Sri_Lanka	98	0	98
Taiwan_Province_of_China	76	116	40
Thailand	118	142	24
United_Arab_Emirates	0	0	0
United_States	16	0	16
Vietnam	80	0	80
